Threshold,ID_Precision,ID_Recall,ID_Accuracy,Title_Precision,Title_Recall,Title_Accuracy,Combined_Precision,Combined_Recall,Combined_Accuracy
0,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.6360759493670886,0.8282967032967034,0.5619757688723206,0.8036346825024743,0.7783458825125492,0.6374833527141059
5,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.6360759493670886,0.8282967032967034,0.5619757688723206,0.8036346825024743,0.7783458825125492,0.6374833527141059
10,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.6360759493670886,0.8282967032967034,0.5619757688723206,0.8036346825024743,0.7783458825125492,0.6374833527141059
15,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.6360759493670886,0.8282967032967034,0.5619757688723206,0.8036346825024743,0.7783458825125492,0.6374833527141059
20,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.6360759493670886,0.8282967032967034,0.5619757688723206,0.8036346825024743,0.7783458825125492,0.6374833527141059
25,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.6367476240760296,0.8282967032967034,0.5625,0.8039705198569449,0.7783458825125492,0.6377454682779455
30,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.6367476240760296,0.8282967032967034,0.5625,0.8039705198569449,0.7783458825125492,0.6377454682779455
35,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.6367476240760296,0.8282967032967034,0.5625,0.8039705198569449,0.7783458825125492,0.6377454682779455
40,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.638095238095238,0.8282967032967034,0.5635514018691589,0.8046443268665491,0.7783458825125492,0.638271169212525
45,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.638771186440678,0.8282967032967034,0.5640785781103835,0.804982301039269,0.7783458825125492,0.6385347573331374
50,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.6397449521785334,0.8269230769230769,0.5641986879100281,0.8054691839081968,0.7776590693257359,0.6385948122329597
55,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.6427038626609443,0.8228021978021978,0.5645617342130066,0.8069486391494022,0.7755986297652964,0.6387763353844489
60,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.6541436464088398,0.8131868131868132,0.5686839577329491,0.8126685310233499,0.7707909374576041,0.6408374471444201
65,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.669735327963176,0.7994505494505495,0.5733990147783251,0.820464371800518,0.7639228055894722,0.6431949756671081
70,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.6856435643564357,0.760989010989011,0.5641547861507128,0.8284184899971478,0.7446920363587031,0.6385728613533019
75,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.7087248322147651,0.7252747252747253,0.5587301587301587,0.8399591239263127,0.7268348935015602,0.635860547643025
80,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.7383458646616541,0.6744505494505495,0.5443458980044346,0.8547696401497571,0.7014228055894722,0.6286684172801629
85,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.7471819645732689,0.6373626373626373,0.5242937853107345,0.8591876901055645,0.6828788495455163,0.6186423609333128
90,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.7433155080213903,0.5728021978021978,0.4782110091743119,0.8572544618296252,0.6505986297652964,0.5956009728651015
95,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.7542735042735043,0.4848901098901099,0.41874258600237246,0.8627334599556822,0.6066425858092525,0.5658667612791318
100,0.9711934156378601,0.7283950617283951,0.7129909365558912,0.0,0.0,0.0,0.48559670781893005,0.36419753086419754,0.3564954682779456
